"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0000837","Doa10p ubiquitin ligase complex","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0000839","Hrd1p ubiquitin ligase ERAD-L complex","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YDL126C","CDC48","S000002284","Saccharomyces cerevisiae","GO:0034098","VCP-NPL4-UFD1 AAA ATPase complex","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YDL204W","RTN2","S000002363","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YGL065C","ALG2","S000003033","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YGR038W","ORM1","S000003270","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YGR157W","CHO2","S000003389","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YGR175C","ERG1","S000003407","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YGR284C","ERV29","S000003516","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005640","nuclear outer membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YLL023C","POM33","S000003946","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YML075C","HMG1","S000004540","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YNR019W","ARE2","S000005302","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YPL218W","SAR1","S000006139","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
"YPL227C","ALG5","S000006148","Saccharomyces cerevisiae","GO:0005789","endoplasmic reticulum membrane","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network"
